test_name,short_description,clinical_overview
Thyroid Stimulating Hormone (TSH),"Measures Thyroid Stimulating Hormone (TSH), a hormone that signals the thyroid gland to regulate metabolism. Levels help doctors evaluate if your thyroid is working properly.","This test measures the concentration of Thyroid Stimulating Hormone (TSH) in the blood. TSH is produced by the pituitary gland and acts as a signal, telling the thyroid gland how much hormone it needs to produce. Doctors order this test when symptoms suggest an issue with metabolism or energy levels, such as unexplained fatigue or weight changes. Elevated TSH levels may indicate that the thyroid gland is underactive (hypothyroidism), while low levels can suggest overactivity (hyperthyroidism). These results are interpreted by a healthcare provider alongside your physical exam and medical history."
Hemoglobin A1C,"This test measures the average amount of sugar (glucose) attached to hemoglobin, a protein in red blood cells. It gives an estimate of your blood sugar control over the past two to three months.","The Hemoglobin A1c test measures the percentage of hemoglobin that has glucose attached to it. Because red blood cells live for several months, this measurement reflects your average blood sugar levels over the preceding 2-3 months, rather than just a single moment in time. Doctors order this test primarily to monitor how well blood sugar levels are managed in people with diabetes or prediabetes. Elevated results suggest that blood sugars have been higher than normal recently, while lower results indicate better control of glucose levels."
CYCLOSPOR/ISOS,This test measures the amount of Cyclosporine medication in your blood to ensure the level is safe and effective for you.,"Cyclosporine is a powerful medicine used to suppress the immune system, often given after an organ transplant. This blood test measures the concentration of this drug to monitor whether the dosage is maintaining levels that are both protective and safe. The goal is to keep the drug level within a specific range: high enough to prevent the body from rejecting the new organ, but not so high that it causes harm to other organs. If results show levels that are too low, it may mean the medication is not working properly; if levels are too high, it could indicate potential toxicity or an overdose."
CULTURE SALM/SHIG,"This test grows bacteria from a stool sample to detect if *Salmonella* or *Shigella* are present, which can cause stomach illness.","The culture method detects specific types of bacteria, namely *Salmonella* and *Shigella*, by growing them from a stool sample. This test is ordered when a healthcare provider suspects an active gastrointestinal infection causing symptoms such as diarrhea, fever, or abdominal pain. A positive result indicates that these particular bacteria were found in the stool sample; however, this finding must be interpreted alongside your medical history and physical exam findings. Negative results suggest that these specific pathogens are not present but do not rule out all possible causes of illness."
HCV RNAQT PCRW/RFL QL,This test measures the amount of Hepatitis C Virus genetic material (RNA) in your blood. High levels suggest the virus is active; low or undetectable levels may indicate successful treatment.,"This laboratory test quantifies the level of Hepatitis C Virus RNA, which is the genetic material of the virus, found in a blood sample. Measuring this viral load helps healthcare providers determine if the infection is currently active and how much virus is circulating in the body. Doctors typically order this test to monitor treatment effectiveness or assess disease activity when an infection is suspected. High levels suggest that the virus is actively replicating and may require adjustments to care, while undetectable levels often indicate that the immune system or medication is successfully controlling the infection."
CBC (H/HRBCWBCPLT),"Measures key components of blood, including red cells (which carry oxygen), white cells (for immune defense), and platelets (which help blood clot).","This test provides a general assessment of your overall blood health by counting and measuring several types of cells. It evaluates the number of red blood cells (RBCs) and hemoglobin, which are responsible for carrying oxygen throughout the body; it also counts white blood cells (WBCs), which are part of the immune system that fights infection, and platelets, which help your blood clot. Physicians order a CBC when they need to check for potential issues such as anemia (low red cell count), signs of infection or inflammation, or bleeding disorders. Abnormal results suggest an underlying condition but require further evaluation by a healthcare provider."
CBC (includes Differential and Platelets) with Pathologist Review,"This test counts different types of blood cells, including red cells, white cells, and platelets. It helps doctors check for signs of infection, anemia, or bleeding issues.","The Complete Blood Count (CBC) measures three main components: red blood cells (which carry oxygen), white blood cells (which fight infection), and platelets (which help the blood clot). The differential count provides a specific breakdown of the different types of white cells. Doctors order this test to evaluate overall health, investigate symptoms like unusual fatigue or bruising, or monitor known conditions. Abnormal results may suggest an active infection, anemia due to low red cell counts, or problems with clotting ability. A pathologist reviews these results to provide expert interpretation alongside the automated count."
CMP W/O CO2ALT,"This test measures key substances in the blood, including electrolytes and the ALT enzyme, to evaluate kidney and liver function.","This panel assesses metabolic balance by measuring several components in your blood. It checks levels of electrolytes (like sodium and potassium), which are vital for nerve and muscle function, along with markers that help estimate how well your kidneys are filtering waste. The test also measures ALT, an enzyme found primarily in the liver, to help evaluate liver health. Elevated or low results can suggest imbalances in these systems or potential issues with specific organs, but they do not diagnose a single condition on their own."
CMP W/O ALT,"This blood test measures levels of various substances that help doctors evaluate how well your kidneys, liver, and metabolism are functioning.","The Comprehensive Metabolic Panel assesses key markers in the blood, including electrolytes (like sodium and potassium), kidney function indicators such as creatinine, glucose levels, and protein status. Physicians order this test to evaluate overall metabolic balance or when symptoms suggest potential issues with organ systems. For example, elevated creatinine may indicate reduced kidney filtering ability, while abnormal electrolyte levels can signal fluid imbalances. The results help the healthcare provider determine if further investigation is needed regarding your body's internal chemistry."
CBC (INCLUDES DIFFERENTIAL AND PLATELETS),"This test counts three main types of blood cells—red blood cells, white blood cells, and platelets—to check for overall health.","The Complete Blood Count (CBC) measures the number and type of circulating blood components: red blood cells (which carry oxygen), white blood cells (the body's immune defenders), and platelets (which help blood clot). It is ordered to evaluate general health, monitor chronic conditions, or investigate symptoms such as fatigue or signs of infection. The differential count specifically examines different types of white blood cells to identify potential sources of inflammation or infection. Abnormal counts can suggest various issues; for example, low platelet levels may increase bleeding risk, while high red cell counts could indicate dehydration. These results help guide a doctor's diagnosis but cannot diagnose a specific disease on their own."
